,Unnamed: 0,CV System RMSE,CV X-Recovery L0 Err,CV X-Recovery L2 Err,Cardinality,Experiment,Infeasible System RMSE,Infeasible X-Recovery L0 Err,Infeasible X-Recovery L2 Err,L0 Thresh,M,Method,N,Noise STD,Normalize A,Type A,d_x0,num_bits,type_x0,w_fp,x0_max,x0_min
71,71,0.6558501078474008,31.0,0.9265536858322764,40.0,15.0,0.4138887805065517,31.0,0.9265536858322764,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
72,72,0.3845304553863959,50.0,0.6427641628898024,40.0,16.0,0.06294548756737944,16.0,0.6295814641657944,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
73,73,0.5613891039062043,24.0,0.8383054074228838,40.0,16.0,0.2951944763098152,24.0,0.8383054074228838,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
74,74,0.134910462490684,14.0,0.18829592762571093,40.0,17.0,0.014144805045241597,11.0,0.18813496721143436,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
75,75,0.5681126007443956,35.0,0.9870189108716502,40.0,17.0,0.5213973514157181,34.0,0.9821754582417344,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
76,76,0.4547761324286264,36.0,0.7156493399462548,40.0,18.0,0.07821275871984039,23.0,0.7127765018330391,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
77,77,0.5579599638583368,29.0,0.8858985608556591,40.0,18.0,0.2933440699341349,29.0,0.8858985608556591,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
78,78,0.3907564917158067,35.0,0.5990771649287536,40.0,19.0,0.0474972489784094,21.0,0.5987412559430567,0.1,90.0,Lasso,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
79,79,0.6010629253525934,31.0,1.0351187177336052,40.0,19.0,0.21322219175951584,28.0,0.9786699826373044,0.1,90.0,OMP,160.0,0.05,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
80,80,0.552258064584915,29.0,0.7616371338212469,40.0,0.0,0.00638905734827621,24.0,0.7273452388135406,0.1,90.0,Lasso,160.0,0.1,1.0,low_coherence,1.0,1.0,binary,50.0,1.0,0.0
